frame.number,frame.time,ip.src,ip.dst,tcp.seq,tcp.payload
"46","Feb  1, 2023 00:48:30.953876000 CST","192.168.137.191","54.183.112.121","1",
"143","Feb  1, 2023 00:48:31.120108000 CST","54.69.37.156","192.168.137.8","1",
"144","Feb  1, 2023 00:48:31.120110000 CST","54.69.37.156","192.168.137.8","1","160303005a02000056030363d9465f1876734cb63044a7fa6f715f51ee37682f35463e444f574e475244012086b0e699e6c51300be3f7b893838c632759131dfc8362847be4bc139250f6fae00ae00000e000100010200170000ff01000100160303002b0c0000270025316448527363324e6a62486c7462477833655768353030303030303030303030303030303016030300040e000000"
"258","Feb  1, 2023 00:48:31.146942000 CST","192.168.137.224","54.188.109.168","1","17030300402e8a7aa37c73a07879aedc03925d85f795076b89ee09d657b920ae79c9c471dd67449d7958bae60a85029e0b3813c12e08f8f944ce3fc3ae125df98dd16acbf7"
"259","Feb  1, 2023 00:48:31.181514000 CST","13.225.196.108","192.168.137.228","1","17030302160000000000000002d2c469887ac57441705ad05736fd3d4837f7561b6aa02cc2baa97327eee8887c73f80fc47951b908a16b8a2fa162f3fcd8e8b758d7da7c8575f7109ed4ea2e90c92ea08d5b47cab7cec8aa7fd74e1780224fa8fe33325e6f8cdb09729ad2541b032e119a4e8fa0a0d012f65fbb014f4bc959003613455d0199715dc5de50c6bd4bd257169df3c76136df7d74d97a317c3d4e95e933e54e26395567188f7e01e6f4ed832169db05f992c1c4cfe7909c7d7c8a82f3aa72780388ec489ee6c180a7c42015b96bda06c520ad9b8aa0c55d8973f8a69c8da59e6b3ac76395f7574fede888061c781ef5c2485204652e50473d1434c658c7dbc8ab7ceb15347d8326490bbdef0af94e9ec951c10096d2cf1d1bcb40561eb20f0f00868cafb522ae75fd5a14b1a6811dfdf89556c3a5173def713f02bb156c4d1a90692a479cdb9d06c827dd3bef7e1ff4856bdd5d01ef3b9cc3eb7e317920765f5ca1bcce61b7ad76f8a192c14ce7cd9e2f8aaa2444b8144e3ca9d48609fd1338345ef2a8d1f08bf1a9fd24c6b6ae370ab2a53e4f0cad16c40688b12f309bb45e5a44beb13daeea7113d535f60affba28429398e8f14977004bd2f1dc4c5ca21cce13902bfd2eed8b6bc5555ba8e0db919c3462c15fb93efccdbb32f57796771a4d9a3fb44b9489dd47c0459d61d78305ebcebae3e372235e6508f7bb"
"260","Feb  1, 2023 00:48:31.182111000 CST","35.175.71.102","192.168.137.12","1","1703030029bd3fbf33947a6097149edd91608b2be86416fb3ab991ae6dd1264099ed103a72e036c26539108d391e"
"262","Feb  1, 2023 00:48:31.189394000 CST","192.168.137.30","35.162.13.26","1","1703030040fcf61beccfc20506fbd850b04d2841da6d917dd1bf788b45bde0b83eb4b619f7be650c7d36de01d2a1616f715a0827a1f2071595a65f10291c5da1f9902224b7"
"318","Feb  1, 2023 00:48:31.217571000 CST","192.168.137.242","44.197.184.121","1",
"330","Feb  1, 2023 00:48:31.224157000 CST","192.168.137.228","13.225.196.108","1",
"332","Feb  1, 2023 00:48:31.224162000 CST","192.168.137.228","72.21.195.82","0",
"506","Feb  1, 2023 00:48:31.255184000 CST","44.231.109.193","192.168.137.209","1",
"816","Feb  1, 2023 00:48:31.329642000 CST","192.168.137.127","54.188.109.168","1","170303004042416f68626d64366147393149465231aa5083ab2817ed0b2eefa63e19c91cbb4cb82463b645ca78ff88d0f317b9bce29440121650007850fc2ca5e91d46e65c"
"1064","Feb  1, 2023 00:48:31.398026000 CST","54.188.109.168","192.168.137.224","70",
"1065","Feb  1, 2023 00:48:31.398028000 CST","54.69.37.156","192.168.137.127","0",
"1066","Feb  1, 2023 00:48:31.437046000 CST","35.162.13.26","192.168.137.30","70",
"1600","Feb  1, 2023 00:48:31.513405000 CST","72.21.195.82","192.168.137.228","0",
