epoch,loss,accuracy,val_loss,val_accuracy
1,0.4856,0.8092,0.4709,0.8149
2,0.5199,0.7985,0.4795,0.8149
3,0.5,0.809,0.4798,0.8149
4,0.4892,0.8094,0.4778,0.8149
5,0.4921,0.809,0.4799,0.8149
6,0.4884,0.8094,0.4804,0.8149
7,0.4863,0.8094,0.4759,0.8149
8,0.4949,0.7984,0.4768,0.8149
9,0.4866,0.8094,0.478,0.8149
10,0.4832,0.8094,0.4698,0.8149
11,0.4287,0.8269,0.2731,0.9057
12,0.1601,0.951,0.0963,0.9708
13,0.1072,0.9688,0.0654,0.9825
14,0.0578,0.984,0.0387,0.9875
15,0.041,0.9875,0.0301,0.9893
16,0.0324,0.9897,0.0338,0.989
17,0.0264,0.9914,0.0205,0.9927
18,0.0359,0.9884,0.0409,0.9869
19,0.0315,0.9902,0.0154,0.995
20,0.0169,0.9947,0.0093,0.9964
21,0.0124,0.9962,0.0072,0.9976
22,0.0097,0.997,0.006,0.9979
23,0.0077,0.9977,0.0251,0.9919
24,0.0076,0.9978,0.0048,0.9986
25,0.0073,0.9977,0.0064,0.9982
26,0.0071,0.9978,0.006,0.998
