epoch,loss,accuracy,val_loss,val_accuracy,val_TN,val_FP,val_FN,val_TP,tpr,far,precision,F1
1,0.4555,0.8123,0.3398,0.8166,29307.0,1.0,6596.0,63.0,0.009460880012013817,3.412037668895865e-05,0.984375,0.018741633199464525
2,0.0955,0.9713,0.0571,0.9855,29278.0,30.0,492.0,6167.0,0.9261150322871302,0.0010236113006687594,0.9951589478780055,0.9593963907902925
3,0.0561,0.9851,0.0676,0.9823,29292.0,16.0,622.0,6037.0,0.906592581468689,0.0005459260270233384,0.9973566826367091,0.9498112020138453
4,0.0532,0.9858,0.0412,0.9877,29205.0,103.0,341.0,6318.0,0.9487911097762427,0.0035143987989627408,0.9839588849088927,0.9660550458715597
5,0.0438,0.9874,0.0273,0.991,29244.0,64.0,258.0,6401.0,0.9612554437603243,0.0021837041080933536,0.9901005413766435,0.9754647973178909
6,0.0481,0.9859,0.0428,0.9863,29066.0,242.0,251.0,6408.0,0.9623066526505482,0.008257131158727992,0.963609022556391,0.9629573972499813
7,0.0294,0.9908,0.0262,0.993,29284.0,24.0,226.0,6433.0,0.966060970115633,0.0008188890405350075,0.9962831036084869,0.9809393107654772
8,0.0213,0.9935,0.0147,0.9948,29159.0,149.0,37.0,6622.0,0.9944436101516744,0.005083936126654838,0.9779943878304534,0.9861504095309009
9,0.0172,0.9948,0.0082,0.9976,29265.0,43.0,43.0,6616.0,0.9935425739600541,0.0014671761976252217,0.9935425739600541,0.9935425739600541
10,0.0151,0.9955,0.01,0.9974,29291.0,17.0,77.0,6582.0,0.9884367022075387,0.000580046403712297,0.9974238520988028,0.9929099411675969
11,0.0119,0.9965,0.011,0.9978,29278.0,30.0,49.0,6610.0,0.9926415377684337,0.0010236113006687594,0.9954819277108434,0.994059703737123
12,0.0136,0.9961,0.0055,0.9984,29285.0,23.0,33.0,6626.0,0.995044300946088,0.0007847686638460489,0.9965408332080012,0.9957920048091373
13,0.0095,0.9972,0.0114,0.9968,29223.0,85.0,31.0,6628.0,0.9953446463432948,0.002900232018561485,0.9873380008937882,0.9913251570445707
14,0.0088,0.9975,0.0052,0.9987,29279.0,29.0,18.0,6641.0,0.9972968914251389,0.0009894909239798006,0.9956521739130435,0.9964738540025508
15,0.0142,0.9952,0.2247,0.9262,29149.0,159.0,2494.0,4165.0,0.6254692896831356,0.005425139893544425,0.9632284921369103,0.7584448693435311
16,0.0445,0.9861,0.0102,0.9967,29260.0,48.0,69.0,6590.0,0.9896380837963659,0.001637778081070015,0.9927689062970775,0.991201022787095
17,0.0103,0.9969,0.0082,0.9973,29237.0,71.0,25.0,6634.0,0.9962456825349152,0.002422546744916064,0.9894108873974646,0.9928165219994014
18,0.0079,0.9977,0.0059,0.9985,29282.0,26.0,29.0,6630.0,0.9956449917405016,0.0008871297939129248,0.99609375,0.9958693203154336
19,0.0074,0.998,0.0057,0.9985,29292.0,16.0,39.0,6620.0,0.9941432647544677,0.0005459260270233384,0.997588908981314,0.9958631064309892
20,0.0071,0.9981,0.0071,0.9978,29259.0,49.0,29.0,6630.0,0.9956449917405016,0.0016718984577589737,0.9926635723910765,0.9941520467836258
21,0.007,0.998,0.0052,0.9985,29300.0,8.0,46.0,6613.0,0.9930920558642439,0.0002729630135116692,0.9987917233046367,0.995933734939759
22,0.0064,0.9981,0.0054,0.9985,29285.0,23.0,33.0,6626.0,0.995044300946088,0.0007847686638460489,0.9965408332080012,0.9957920048091373
